epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8983,1.58439,4.55923,1.82439,0.59592,0.18281,0.15689,0.07409,1.38753,4.16193,1.96242,0.000110578,0.000110578,0.000110578
2,170.338,1.32089,3.49855,1.59095,0.66377,0.28544,0.44888,0.26746,1.30558,2.88154,1.94972,0.000219384,0.000219384,0.000219384
3,253.065,1.30181,3.01143,1.55681,0.73825,0.36417,0.52119,0.28075,1.50305,2.55153,2.02498,0.000325993,0.000325993,0.000325993
4,335.514,1.27006,2.63451,1.51377,0.61252,0.49569,0.53485,0.33552,1.30147,2.80707,1.82465,0.00032311,0.00032311,0.00032311
5,418.15,1.23866,2.35206,1.4917,0.50071,0.4806,0.60171,0.39244,1.29424,2.45458,1.80814,0.000319813,0.000319813,0.000319813
6,500.784,1.24474,2.19494,1.48128,0.67964,0.47346,0.62282,0.40592,1.29558,2.55516,1.84551,0.000316517,0.000316517,0.000316517
7,583.268,1.18732,2.03497,1.42721,0.78278,0.45957,0.62148,0.40647,1.25238,2.8061,1.72837,0.00031322,0.00031322,0.00031322
8,665.816,1.17513,1.90838,1.42156,0.86898,0.52621,0.70947,0.39119,1.55481,2.08138,2.07842,0.000309923,0.000309923,0.000309923
9,748.325,1.17157,1.78315,1.41057,0.79638,0.44885,0.66583,0.43196,1.32817,2.56568,1.85582,0.000306626,0.000306626,0.000306626
10,830.935,1.12384,1.68742,1.36965,0.76621,0.55299,0.74068,0.48122,1.39353,2.14327,1.94544,0.00030333,0.00030333,0.00030333
11,913.558,1.10888,1.60284,1.36253,0.74876,0.47883,0.68141,0.43834,1.39635,2.47861,1.94831,0.000300033,0.000300033,0.000300033
12,996.278,1.08642,1.52771,1.34484,0.63025,0.62448,0.69597,0.4581,1.28385,2.27723,1.83006,0.000296736,0.000296736,0.000296736
13,1078.66,1.05982,1.46648,1.33616,0.63982,0.59365,0.75597,0.52211,1.25972,2.36173,1.81982,0.00029344,0.00029344,0.00029344
14,1161.01,1.08549,1.44989,1.34767,0.71873,0.57492,0.76066,0.48909,1.35252,2.1618,1.86061,0.000290143,0.000290143,0.000290143
15,1243.7,1.05735,1.38127,1.31089,0.70672,0.57543,0.73236,0.46733,1.37105,2.36411,1.90733,0.000286846,0.000286846,0.000286846
16,1326.24,1.05789,1.3185,1.31277,0.70569,0.56634,0.69553,0.44864,1.32672,2.62497,1.88427,0.00028355,0.00028355,0.00028355
17,1408.9,1.04555,1.30529,1.3109,0.78012,0.57293,0.71566,0.48088,1.22705,2.24288,1.69692,0.000280253,0.000280253,0.000280253
18,1491.52,1.01371,1.25519,1.29375,0.6707,0.66158,0.75774,0.51449,1.19943,2.14018,1.74611,0.000276956,0.000276956,0.000276956
19,1574.04,1.01589,1.25768,1.28569,0.66569,0.63033,0.76216,0.53212,1.22658,2.30016,1.72999,0.000273659,0.000273659,0.000273659
20,1656.73,1.00182,1.20243,1.27381,0.70127,0.61867,0.74862,0.51425,1.25893,2.26821,1.79389,0.000270363,0.000270363,0.000270363
21,1739.3,0.98907,1.13496,1.26606,0.66779,0.60535,0.69533,0.47744,1.25116,2.32863,1.76117,0.000267066,0.000267066,0.000267066
22,1821.86,0.96773,1.11614,1.25041,0.63695,0.64438,0.72744,0.49944,1.24956,2.34042,1.77767,0.000263769,0.000263769,0.000263769
23,1904.53,0.97145,1.08791,1.25632,0.76917,0.59609,0.77799,0.51371,1.34365,1.86833,1.89147,0.000260473,0.000260473,0.000260473
24,1987.11,0.9678,1.08796,1.24697,0.73014,0.55788,0.77469,0.5478,1.22659,2.1434,1.71256,0.000257176,0.000257176,0.000257176
25,2069.58,0.94226,1.05957,1.22574,0.83201,0.47572,0.678,0.48014,1.15742,2.40562,1.64889,0.000253879,0.000253879,0.000253879
26,2152.15,0.94166,1.04936,1.22782,0.7099,0.51823,0.70103,0.49647,1.20331,2.48379,1.72414,0.000250583,0.000250583,0.000250583
27,2234.75,0.93887,1.04285,1.21819,0.82397,0.50786,0.73792,0.51377,1.23947,2.20641,1.73626,0.000247286,0.000247286,0.000247286
28,2317.32,0.94097,1.02332,1.22779,0.71377,0.69339,0.7637,0.50425,1.39571,1.96221,1.92115,0.000243989,0.000243989,0.000243989
29,2399.83,0.93375,1.00036,1.2256,0.72321,0.59373,0.72737,0.50877,1.24602,2.29291,1.7282,0.000240692,0.000240692,0.000240692
30,2482.38,0.91039,0.97627,1.20661,0.81805,0.55063,0.74209,0.53635,1.15445,2.23461,1.62764,0.000237396,0.000237396,0.000237396
31,2565.09,0.89959,0.94068,1.20388,0.75422,0.59963,0.74656,0.51571,1.27415,2.36134,1.74008,0.000234099,0.000234099,0.000234099
32,2647.73,0.89233,0.9626,1.19972,0.68458,0.64739,0.74061,0.54212,1.13669,2.31901,1.61174,0.000230802,0.000230802,0.000230802
33,2730.19,0.89407,0.93332,1.1994,0.71627,0.67196,0.78683,0.55753,1.19823,2.05703,1.68621,0.000227506,0.000227506,0.000227506
34,2812.77,0.89431,0.9256,1.18921,0.76596,0.53402,0.64886,0.47131,1.16594,2.49688,1.63508,0.000224209,0.000224209,0.000224209
35,2895.29,0.85536,0.90257,1.16971,0.80491,0.58899,0.75203,0.53715,1.21649,2.13443,1.6974,0.000220912,0.000220912,0.000220912
36,2977.77,0.8743,0.89709,1.17839,0.7142,0.61641,0.73575,0.53138,1.1727,2.21597,1.69805,0.000217616,0.000217616,0.000217616
