epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.562,1.17975,4.0576,1.5275,0.44984,0.42682,0.44729,0.34937,1.01567,2.16116,1.24431,0.000110213,0.000110213,0.000110213
2,228.15,1.02693,2.68287,1.35531,0.8488,0.74421,0.84673,0.64786,0.93458,1.16252,1.14906,0.000210263,0.000210263,0.000210263
3,340.172,0.98373,2.0596,1.2943,0.82491,0.78914,0.86415,0.65535,0.89832,1.09897,1.16689,0.000299324,0.000299324,0.000299324
4,451.832,0.94497,1.76523,1.2554,0.86836,0.89331,0.94053,0.71964,0.85855,0.84026,1.08485,0.00028355,0.00028355,0.00028355
5,564.203,0.91639,1.54447,1.2303,0.90751,0.90534,0.9508,0.7525,0.84747,0.74143,1.08218,0.000267066,0.000267066,0.000267066
6,676.471,0.8804,1.3857,1.19858,0.90599,0.9391,0.95495,0.75447,0.78732,0.66659,1.03086,0.000250583,0.000250583,0.000250583
7,789.194,0.86103,1.23726,1.17384,0.93213,0.95233,0.97101,0.76447,0.81986,0.58247,1.05204,0.000234099,0.000234099,0.000234099
8,901.831,0.83477,1.14334,1.15731,0.93328,0.94978,0.96893,0.75796,0.83538,0.60114,1.03651,0.000217616,0.000217616,0.000217616
9,1014.64,0.82161,1.09885,1.14615,0.96839,0.94432,0.9835,0.78838,0.78042,0.54992,1.02713,0.000201132,0.000201132,0.000201132
10,1127.21,0.80621,1.03802,1.13912,0.96199,0.97336,0.9867,0.79429,0.7866,0.50214,1.0157,0.000184649,0.000184649,0.000184649
11,1252.9,0.71575,0.72458,1.09774,0.95824,0.97246,0.98473,0.79612,0.76296,0.46932,0.9979,0.000168165,0.000168165,0.000168165
12,1365.02,0.69002,0.66938,1.08013,0.9774,0.97862,0.99089,0.80789,0.73317,0.43965,0.97749,0.000151682,0.000151682,0.000151682
13,1477.95,0.66891,0.6219,1.07674,0.96556,0.96497,0.98222,0.80596,0.7329,0.44953,0.97903,0.000135198,0.000135198,0.000135198
14,1589.66,0.66808,0.5858,1.06691,0.97702,0.98296,0.99094,0.80798,0.73896,0.42357,0.97184,0.000118714,0.000118714,0.000118714
15,1701.38,0.64891,0.54899,1.05178,0.98389,0.98653,0.99027,0.81253,0.74586,0.39736,0.97057,0.000102231,0.000102231,0.000102231
16,1813.87,0.63017,0.5258,1.04317,0.98603,0.99096,0.99092,0.81702,0.71118,0.38458,0.96089,8.57475e-05,8.57475e-05,8.57475e-05
17,1926.08,0.61852,0.51013,1.03597,0.98776,0.98113,0.99077,0.82112,0.70739,0.37414,0.95818,6.9264e-05,6.9264e-05,6.9264e-05
18,2037.81,0.60952,0.49004,1.02743,0.9864,0.98875,0.99061,0.82804,0.69125,0.3592,0.94797,5.27805e-05,5.27805e-05,5.27805e-05
19,2149.09,0.59618,0.47308,1.0192,0.98185,0.98199,0.99059,0.83031,0.67871,0.35813,0.93962,3.6297e-05,3.6297e-05,3.6297e-05
20,2261.89,0.58125,0.46408,1.01101,0.98451,0.98854,0.99141,0.83236,0.67408,0.35046,0.93596,1.98135e-05,1.98135e-05,1.98135e-05
