epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1023,1.52842,4.32441,1.66222,0.5145,0.22462,0.21009,0.12732,1.18221,3.19547,1.59696,0.000110578,0.000110578,0.000110578
2,141.933,1.3248,3.2472,1.48363,0.40496,0.46721,0.41188,0.27813,1.14549,2.79319,1.58758,0.000217191,0.000217191,0.000217191
3,210.904,1.28898,2.75535,1.4463,0.63793,0.41572,0.50055,0.31397,1.36292,2.60694,1.70245,0.000319408,0.000319408,0.000319408
4,279.425,1.23462,2.40573,1.37508,0.71973,0.46315,0.52648,0.37071,1.12175,3.1163,1.51719,0.00031322,0.00031322,0.00031322
5,346.972,1.22256,2.13555,1.37457,0.60883,0.54898,0.64467,0.46954,1.08909,2.27506,1.50172,0.000306626,0.000306626,0.000306626
6,414.403,1.18678,1.96444,1.34581,0.81467,0.35802,0.58961,0.40302,1.1826,3.07769,1.55672,0.000300033,0.000300033,0.000300033
7,481.56,1.15965,1.83637,1.31958,0.63736,0.60931,0.67148,0.49363,1.09413,2.31986,1.51502,0.00029344,0.00029344,0.00029344
8,548.936,1.13577,1.74008,1.30799,0.66433,0.60367,0.70172,0.43569,1.348,2.30994,1.71456,0.000286846,0.000286846,0.000286846
9,616.395,1.12983,1.60076,1.28893,0.7936,0.49946,0.71638,0.51485,1.11471,2.35738,1.52454,0.000280253,0.000280253,0.000280253
10,684.014,1.07423,1.5595,1.2571,0.68245,0.57235,0.66121,0.49119,1.04527,2.34028,1.46077,0.000273659,0.000273659,0.000273659
11,751.193,1.0819,1.47612,1.25892,0.73441,0.62536,0.75696,0.51714,1.23771,2.25206,1.61233,0.000267066,0.000267066,0.000267066
12,819.215,1.03817,1.38167,1.23486,0.62072,0.66296,0.72632,0.5575,1.01777,2.11179,1.42897,0.000260473,0.000260473,0.000260473
13,887.322,1.02495,1.35618,1.23645,0.70672,0.654,0.77814,0.58198,1.11856,2.0624,1.5477,0.000253879,0.000253879,0.000253879
14,954.684,1.02096,1.30631,1.23806,0.64668,0.71794,0.79724,0.56352,1.15467,2.04169,1.53996,0.000247286,0.000247286,0.000247286
15,1022.18,1.00616,1.26202,1.21005,0.76062,0.6847,0.77907,0.57787,1.10344,1.9304,1.50197,0.000240692,0.000240692,0.000240692
16,1089.54,0.99279,1.21152,1.19796,0.67532,0.5798,0.70082,0.51654,1.08281,2.47577,1.51349,0.000234099,0.000234099,0.000234099
17,1156.76,0.97997,1.18854,1.19857,0.7241,0.64515,0.78869,0.57446,1.09105,2.06871,1.48361,0.000227506,0.000227506,0.000227506
18,1224.21,0.93993,1.14708,1.17078,0.60759,0.68761,0.81452,0.61408,1.04185,2.05804,1.47158,0.000220912,0.000220912,0.000220912
19,1291.92,0.95841,1.13827,1.17815,0.70364,0.61617,0.73978,0.56757,1.0215,2.3117,1.43069,0.000214319,0.000214319,0.000214319
