epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.474,1.16519,4.23017,1.64907,0.45548,0.43289,0.47775,0.35888,1.09026,2.04207,1.54633,0.000110802,0.000110802,0.000110802
2,366.429,1.05557,2.95883,1.47658,0.72398,0.74075,0.82006,0.57794,1.09646,1.35957,1.54028,0.000210823,0.000210823,0.000210823
3,545.138,1.01984,2.33096,1.41969,0.79286,0.85562,0.90986,0.66901,1.01152,1.01578,1.41778,0.000299855,0.000299855,0.000299855
4,723.097,0.99039,1.97722,1.38085,0.86147,0.88515,0.9381,0.67567,1.04838,0.90011,1.39948,0.00028355,0.00028355,0.00028355
5,901.84,0.95976,1.7457,1.35414,0.92037,0.92238,0.95431,0.72095,0.94495,0.79558,1.33326,0.000267066,0.000267066,0.000267066
6,1079.62,0.92241,1.57348,1.3174,0.92398,0.93207,0.95668,0.72776,0.9241,0.69015,1.32178,0.000250583,0.000250583,0.000250583
7,1258.2,0.89118,1.40954,1.28819,0.92331,0.95675,0.9658,0.75209,0.8893,0.6388,1.26312,0.000234099,0.000234099,0.000234099
8,1432.96,0.87495,1.29121,1.27256,0.93101,0.95689,0.96394,0.73867,0.93317,0.62193,1.32574,0.000217616,0.000217616,0.000217616
9,1607.52,0.86324,1.21287,1.26008,0.95703,0.95403,0.97523,0.76393,0.87641,0.58205,1.27377,0.000201132,0.000201132,0.000201132
10,1782.8,0.84544,1.14093,1.24658,0.95173,0.96154,0.9779,0.76214,0.86969,0.56224,1.24992,0.000184649,0.000184649,0.000184649
11,1972.34,0.74107,0.76827,1.20085,0.96568,0.96691,0.98387,0.7909,0.79622,0.51135,1.20698,0.000168165,0.000168165,0.000168165
12,2147.89,0.71263,0.69904,1.18286,0.96846,0.97398,0.98806,0.79112,0.8279,0.50269,1.21547,0.000151682,0.000151682,0.000151682
13,2324.02,0.69692,0.64894,1.17463,0.97295,0.96517,0.98883,0.79339,0.81032,0.4929,1.20607,0.000135198,0.000135198,0.000135198
14,2501.03,0.6814,0.61341,1.16227,0.9729,0.98549,0.99032,0.80411,0.78271,0.46168,1.17993,0.000118714,0.000118714,0.000118714
15,2679.49,0.67542,0.58287,1.1523,0.98102,0.97287,0.98978,0.80335,0.78342,0.44995,1.18337,0.000102231,0.000102231,0.000102231
16,2855.74,0.65957,0.55031,1.14304,0.98521,0.98125,0.99162,0.81817,0.74241,0.42806,1.15466,8.57475e-05,8.57475e-05,8.57475e-05
17,3032.23,0.64786,0.52917,1.13213,0.97555,0.98806,0.99028,0.80654,0.77295,0.42686,1.17329,6.9264e-05,6.9264e-05,6.9264e-05
18,3209.94,0.62912,0.51461,1.12015,0.99115,0.98381,0.99245,0.81618,0.74198,0.40461,1.15257,5.27805e-05,5.27805e-05,5.27805e-05
19,3410.68,0.62743,0.49413,1.1195,0.98413,0.97976,0.9914,0.82181,0.74712,0.40379,1.15563,3.6297e-05,3.6297e-05,3.6297e-05
20,3589.44,0.60809,0.47914,1.09987,0.98664,0.98761,0.99208,0.82204,0.73193,0.38956,1.14409,1.98135e-05,1.98135e-05,1.98135e-05
