epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5043,1.66419,4.73499,1.90235,0.02017,0.63761,0.09823,0.04055,1.24485,3.74017,1.71455,0.000109318,0.000109318,0.000109318
2,177.451,1.277,3.55438,1.55558,0.54894,0.25758,0.19151,0.1106,1.30624,3.09097,1.73336,0.000215956,0.000215956,0.000215956
3,268.725,1.28782,3.01865,1.54348,0.59521,0.504,0.48815,0.26616,1.46377,2.96768,1.98996,0.000318198,0.000318198,0.000318198
4,361.448,1.2397,2.50886,1.48108,0.56572,0.44791,0.53636,0.31206,1.43589,2.58466,2.07391,0.00031322,0.00031322,0.00031322
5,553.596,1.2171,2.25354,1.46343,0.68516,0.42468,0.57016,0.37118,1.26061,2.40389,1.75922,0.000306626,0.000306626,0.000306626
6,747.501,1.1622,2.04709,1.42502,0.69741,0.49696,0.59542,0.35656,1.39566,2.35571,1.85955,0.000300033,0.000300033,0.000300033
7,939.208,1.13999,1.90138,1.3951,0.76646,0.42642,0.6277,0.38018,1.40096,2.32273,1.89438,0.00029344,0.00029344,0.00029344
8,1132.23,1.12314,1.78701,1.37883,0.77849,0.48319,0.6299,0.41984,1.20756,2.33358,1.71844,0.000286846,0.000286846,0.000286846
9,1323.16,1.1041,1.64818,1.35083,0.63708,0.5494,0.64999,0.42234,1.24745,2.37024,1.73716,0.000280253,0.000280253,0.000280253
10,1517.69,1.08484,1.56284,1.34395,0.71671,0.68112,0.74017,0.37861,1.64348,2.00932,2.22863,0.000273659,0.000273659,0.000273659
11,1711.28,1.06241,1.50211,1.31321,0.66118,0.58091,0.65512,0.44757,1.15754,2.40971,1.63646,0.000267066,0.000267066,0.000267066
12,1908.25,1.03375,1.40505,1.28558,0.5493,0.56419,0.66924,0.44819,1.23986,2.32103,1.75793,0.000260473,0.000260473,0.000260473
13,2099.77,1.01899,1.37421,1.30312,0.87528,0.41855,0.65113,0.42574,1.27958,2.38904,1.79977,0.000253879,0.000253879,0.000253879
14,2295.71,1.03182,1.32611,1.29304,0.81399,0.4609,0.64663,0.44645,1.1734,2.28045,1.66769,0.000247286,0.000247286,0.000247286
15,2486.85,1.01494,1.26466,1.2787,0.808,0.5409,0.72642,0.5066,1.133,2.05799,1.63886,0.000240692,0.000240692,0.000240692
16,2681.69,0.98606,1.22503,1.25955,0.65888,0.61347,0.71821,0.50707,1.14453,2.11358,1.62893,0.000234099,0.000234099,0.000234099
17,2874.41,0.98136,1.18272,1.25511,0.58233,0.60524,0.68638,0.49041,1.12042,2.22441,1.6023,0.000227506,0.000227506,0.000227506
18,3103.66,0.96504,1.12912,1.24274,0.71314,0.64979,0.79764,0.55714,1.14429,1.85466,1.6655,0.000220912,0.000220912,0.000220912
19,3327.11,0.95568,1.12922,1.23267,0.82504,0.49029,0.74003,0.54729,1.07286,2.0929,1.56739,0.000214319,0.000214319,0.000214319
20,3558.48,0.9307,1.09155,1.21914,0.79162,0.48897,0.72629,0.52615,1.0786,2.21598,1.5692,0.000207725,0.000207725,0.000207725
21,3789.13,0.91322,1.06624,1.20976,0.87225,0.43285,0.67036,0.50054,1.06545,2.22064,1.51049,0.000201132,0.000201132,0.000201132
22,4009.58,0.90141,1.00814,1.19581,0.83101,0.49427,0.75566,0.55555,1.06384,1.97665,1.55139,0.000194539,0.000194539,0.000194539
23,4231.14,0.89563,0.98294,1.17708,0.63104,0.63902,0.73316,0.52102,1.18492,2.07373,1.66603,0.000187945,0.000187945,0.000187945
24,4451.85,0.88443,0.97945,1.19289,0.63119,0.64049,0.73477,0.51701,1.12292,2.05694,1.63204,0.000181352,0.000181352,0.000181352
25,4674.32,0.87696,0.94742,1.16709,0.5807,0.60107,0.69571,0.51943,1.03982,2.16207,1.50343,0.000174758,0.000174758,0.000174758
26,4894.76,0.84896,0.91717,1.1569,0.75978,0.57043,0.7601,0.54652,1.0929,2.08003,1.58214,0.000168165,0.000168165,0.000168165
27,5117.41,0.86879,0.92003,1.16736,0.69577,0.59872,0.69575,0.51001,1.0779,2.2688,1.57218,0.000161572,0.000161572,0.000161572
28,5337.92,0.84255,0.88589,1.15587,0.58486,0.59718,0.67348,0.49884,1.06128,2.35247,1.55837,0.000154978,0.000154978,0.000154978
29,5560.93,0.83897,0.87767,1.15622,0.63587,0.58647,0.70813,0.51941,1.06236,2.19035,1.52978,0.000148385,0.000148385,0.000148385
30,5782.26,0.83331,0.85688,1.14114,0.59932,0.635,0.71638,0.50118,1.14922,2.13138,1.66955,0.000141791,0.000141791,0.000141791
31,6005.14,0.82005,0.85549,1.14256,0.66609,0.6529,0.75889,0.55392,1.07229,2.12852,1.51955,0.000135198,0.000135198,0.000135198
32,6226.05,0.80756,0.84432,1.14244,0.64112,0.67749,0.75856,0.55874,1.06218,2.05207,1.54739,0.000128605,0.000128605,0.000128605
33,6449.35,0.80018,0.82703,1.12939,0.59626,0.64654,0.73131,0.5302,1.09619,2.1297,1.584,0.000122011,0.000122011,0.000122011
