epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.423,1.51648,4.56096,1.75968,0.44511,0.22306,0.13005,0.07653,1.20687,3.3298,1.75869,0.000110578,0.000110578,0.000110578
2,173.512,1.31274,3.49267,1.57699,0.59434,0.30865,0.34613,0.21741,1.19748,2.92817,1.74332,0.000217191,0.000217191,0.000217191
3,257.302,1.28973,3.01115,1.54356,0.46262,0.56248,0.48602,0.31154,1.20501,3.30291,1.7126,0.000319408,0.000319408,0.000319408
4,340.647,1.21132,2.59164,1.45737,0.65421,0.46863,0.55725,0.37629,1.2006,2.4692,1.70311,0.00031322,0.00031322,0.00031322
5,423.739,1.20609,2.32106,1.46286,0.55129,0.42301,0.58819,0.41376,1.11469,2.55076,1.68522,0.000306626,0.000306626,0.000306626
6,506.852,1.1903,2.16891,1.43694,0.6486,0.50875,0.63894,0.42296,1.28148,2.46284,1.8425,0.000300033,0.000300033,0.000300033
7,589.669,1.15273,1.9898,1.40071,0.77459,0.5268,0.69397,0.50192,1.11873,2.36494,1.67205,0.00029344,0.00029344,0.00029344
8,672.358,1.12604,1.87187,1.37827,0.73525,0.61237,0.76942,0.50323,1.35717,2.078,1.86482,0.000286846,0.000286846,0.000286846
9,755.112,1.10464,1.71486,1.35405,0.78626,0.56155,0.7199,0.51699,1.15022,2.23092,1.65086,0.000280253,0.000280253,0.000280253
10,837.91,1.0703,1.65886,1.32727,0.66672,0.58174,0.731,0.54325,1.101,2.1102,1.65303,0.000273659,0.000273659,0.000273659
11,920.724,1.05852,1.54881,1.31314,0.66238,0.5432,0.69823,0.50268,1.15614,2.62604,1.67183,0.000267066,0.000267066,0.000267066
12,1003.72,1.04003,1.46766,1.30571,0.56042,0.60718,0.71517,0.52939,1.08726,2.54249,1.64914,0.000260473,0.000260473,0.000260473
13,1086.63,1.00626,1.40621,1.29419,0.59631,0.56803,0.73593,0.54995,1.08082,2.29274,1.65184,0.000253879,0.000253879,0.000253879
14,1169.15,1.02355,1.3909,1.30296,0.67716,0.55165,0.77186,0.55643,1.14153,2.02048,1.69797,0.000247286,0.000247286,0.000247286
15,1252,0.99945,1.31425,1.26541,0.86769,0.47546,0.73197,0.53634,1.13828,2.2378,1.65809,0.000240692,0.000240692,0.000240692
16,1334.74,0.97853,1.25089,1.25371,0.58735,0.63873,0.74102,0.5331,1.16652,2.39332,1.7498,0.000234099,0.000234099,0.000234099
17,1417.65,0.98256,1.24793,1.25768,0.82958,0.50314,0.69849,0.5288,1.08497,2.18912,1.63639,0.000227506,0.000227506,0.000227506
18,1500.5,0.93556,1.19022,1.2264,0.79423,0.49273,0.72058,0.54499,1.06149,2.42263,1.65799,0.000220912,0.000220912,0.000220912
19,1583.22,0.93763,1.17025,1.22375,0.8863,0.41277,0.59417,0.44835,1.03235,2.71929,1.54778,0.000214319,0.000214319,0.000214319
