epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0709,1.63381,4.39536,1.73697,0.37471,0.17491,0.09941,0.0454,1.40753,3.45858,1.73778,0.000110159,0.000110159,0.000110159
2,119.491,1.316,3.29758,1.49733,0.5155,0.33038,0.35704,0.22464,1.26,2.98771,1.59951,0.00021678,0.00021678,0.00021678
3,177.477,1.30259,2.75717,1.45828,0.55922,0.44056,0.49715,0.3143,1.22931,2.64748,1.65399,0.000319006,0.000319006,0.000319006
4,235.383,1.25323,2.38245,1.4095,0.71836,0.43494,0.5213,0.32451,1.31843,2.77076,1.66984,0.00031322,0.00031322,0.00031322
5,293.05,1.20959,2.06863,1.36952,0.63581,0.54329,0.6366,0.38387,1.40006,2.37665,1.73322,0.000306626,0.000306626,0.000306626
6,350.73,1.19281,1.96995,1.35867,0.82301,0.40287,0.61267,0.38073,1.35295,2.7265,1.69405,0.000300033,0.000300033,0.000300033
7,408.468,1.17118,1.81447,1.32812,0.55843,0.62234,0.69172,0.4543,1.22923,2.27012,1.58957,0.00029344,0.00029344,0.00029344
8,466.223,1.15314,1.71635,1.31628,0.92372,0.49676,0.71569,0.4719,1.24724,2.09039,1.5719,0.000286846,0.000286846,0.000286846
9,524.081,1.13182,1.62679,1.30383,0.5487,0.59377,0.61627,0.36497,1.40903,2.61155,1.71002,0.000280253,0.000280253,0.000280253
10,581.826,1.10818,1.5084,1.27856,0.64315,0.57935,0.64787,0.437,1.20026,2.37455,1.52481,0.000273659,0.000273659,0.000273659
11,639.47,1.07919,1.45289,1.26387,0.78627,0.46311,0.62876,0.45962,1.12011,2.49316,1.50175,0.000267066,0.000267066,0.000267066
12,697.626,1.05699,1.39108,1.25284,0.60086,0.54479,0.64409,0.45015,1.18461,2.6074,1.57301,0.000260473,0.000260473,0.000260473
13,755.53,1.04638,1.36405,1.24928,0.56668,0.60329,0.65932,0.46519,1.14153,2.50713,1.50872,0.000253879,0.000253879,0.000253879
14,813.206,1.03574,1.30626,1.2404,0.70675,0.55138,0.72717,0.50842,1.13833,2.28721,1.47119,0.000247286,0.000247286,0.000247286
15,870.996,1.02022,1.24703,1.22429,0.68323,0.62115,0.72664,0.49962,1.16657,2.17304,1.48746,0.000240692,0.000240692,0.000240692
16,928.611,0.99857,1.22717,1.21642,0.86543,0.45476,0.7072,0.5001,1.13413,2.2057,1.50101,0.000234099,0.000234099,0.000234099
17,986.391,1.00828,1.18762,1.21504,0.89215,0.42433,0.73583,0.52215,1.12293,2.29261,1.47738,0.000227506,0.000227506,0.000227506
18,1044.06,0.96741,1.15455,1.19474,0.59792,0.6,0.72252,0.52675,1.05453,2.21859,1.41217,0.000220912,0.000220912,0.000220912
19,1101.72,0.98412,1.15891,1.20122,0.6603,0.65879,0.78643,0.53686,1.2758,1.94327,1.62064,0.000214319,0.000214319,0.000214319
20,1159.5,0.96428,1.11407,1.19442,0.84253,0.42971,0.70982,0.52625,1.04974,2.34569,1.40768,0.000207725,0.000207725,0.000207725
21,1217.2,0.94535,1.05869,1.18506,0.62658,0.57861,0.71069,0.51648,1.10162,2.36611,1.47606,0.000201132,0.000201132,0.000201132
22,1274.91,0.9438,1.04007,1.186,0.66146,0.63108,0.74266,0.53664,1.10683,2.30071,1.4838,0.000194539,0.000194539,0.000194539
23,1332.47,0.91354,1.00205,1.15212,0.72538,0.63792,0.8326,0.56642,1.19658,2.11072,1.56429,0.000187945,0.000187945,0.000187945
24,1390.21,0.91817,1.01294,1.16527,0.68401,0.57552,0.74999,0.56222,1.09497,2.21751,1.46367,0.000181352,0.000181352,0.000181352
25,1448.03,0.90908,0.9748,1.15489,0.66344,0.56571,0.71639,0.54455,1.01463,2.48692,1.37693,0.000174758,0.000174758,0.000174758
26,1505.94,0.90171,0.98653,1.14954,0.63494,0.65405,0.77206,0.5797,1.01626,2.17826,1.4026,0.000168165,0.000168165,0.000168165
27,1563.54,0.88992,0.9331,1.14017,0.59327,0.61675,0.72542,0.54526,1.03856,2.26396,1.41898,0.000161572,0.000161572,0.000161572
28,1621.26,0.86509,0.92782,1.13353,0.71259,0.5991,0.73672,0.54788,1.03451,2.31151,1.40535,0.000154978,0.000154978,0.000154978
29,1679.06,0.86112,0.92786,1.1337,0.55896,0.59225,0.66089,0.49852,1.06468,2.52399,1.42477,0.000148385,0.000148385,0.000148385
30,1736.89,0.83998,0.90779,1.11998,0.51544,0.61878,0.68114,0.50685,1.07804,2.39077,1.43724,0.000141791,0.000141791,0.000141791
31,1794.68,0.85546,0.88076,1.12311,0.63444,0.62723,0.73187,0.54892,1.0733,2.18129,1.42649,0.000135198,0.000135198,0.000135198
32,1852.39,0.82231,0.85055,1.11663,0.61743,0.65694,0.7445,0.54625,1.06288,2.1368,1.42881,0.000128605,0.000128605,0.000128605
33,1910.05,0.8388,0.86376,1.11725,0.66402,0.61877,0.73325,0.54106,1.11443,2.19642,1.45023,0.000122011,0.000122011,0.000122011
34,1967.69,0.81122,0.83565,1.10463,0.60321,0.6358,0.75448,0.58282,1.00998,2.21646,1.36314,0.000115418,0.000115418,0.000115418
35,2025.34,0.82368,0.85199,1.10873,0.7386,0.5341,0.72284,0.55143,1.03162,2.34128,1.38251,0.000108824,0.000108824,0.000108824
36,2083,0.81351,0.83303,1.10107,0.6537,0.59326,0.7224,0.53434,1.06711,2.32005,1.43021,0.000102231,0.000102231,0.000102231
37,2140.74,0.81251,0.84837,1.10644,0.64732,0.59102,0.73036,0.56118,0.99954,2.33144,1.35159,9.56376e-05,9.56376e-05,9.56376e-05
38,2198.64,0.80426,0.79731,1.10081,0.64814,0.60218,0.74418,0.56533,1.02491,2.36305,1.36174,8.90442e-05,8.90442e-05,8.90442e-05
39,2256.19,0.79061,0.80147,1.09713,0.63357,0.68357,0.76498,0.58969,1.01147,2.14927,1.36315,8.24508e-05,8.24508e-05,8.24508e-05
40,2313.76,0.77932,0.77064,1.09253,0.56986,0.63727,0.72214,0.55595,0.99751,2.4023,1.3626,7.58574e-05,7.58574e-05,7.58574e-05
41,2386.05,0.64322,0.51024,1.03788,0.59738,0.64661,0.73194,0.55793,1.00905,2.38307,1.38898,6.9264e-05,6.9264e-05,6.9264e-05
42,2443.41,0.613,0.47007,1.01259,0.60281,0.64802,0.71758,0.54443,1.02576,2.34808,1.39348,6.26706e-05,6.26706e-05,6.26706e-05
43,2501.05,0.61439,0.47133,1.01826,0.60141,0.65011,0.72656,0.55846,0.98659,2.2388,1.35589,5.60772e-05,5.60772e-05,5.60772e-05
44,2558.48,0.59467,0.4599,0.99858,0.62576,0.67494,0.76103,0.59044,0.97573,2.0907,1.35113,4.94838e-05,4.94838e-05,4.94838e-05
45,2615.94,0.58385,0.44801,0.99814,0.61799,0.69133,0.75499,0.58507,0.99392,2.15061,1.37393,4.28904e-05,4.28904e-05,4.28904e-05
46,2673.4,0.57813,0.44569,0.99231,0.61602,0.66407,0.73893,0.58062,0.95452,2.22488,1.34242,3.6297e-05,3.6297e-05,3.6297e-05
47,2730.87,0.57154,0.43311,0.99081,0.62141,0.67591,0.75061,0.5836,0.96968,2.14135,1.34455,2.97036e-05,2.97036e-05,2.97036e-05
48,2788.32,0.56443,0.43261,0.98583,0.62227,0.67334,0.76318,0.59737,0.95939,2.09843,1.33449,2.31102e-05,2.31102e-05,2.31102e-05
49,2845.66,0.54759,0.42687,0.97892,0.63503,0.67746,0.75858,0.59158,0.95488,2.08087,1.33534,1.65168e-05,1.65168e-05,1.65168e-05
50,2903.18,0.54695,0.42207,0.98001,0.63351,0.67566,0.758,0.59412,0.95193,2.0907,1.33249,9.9234e-06,9.9234e-06,9.9234e-06
