epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6013,1.5556,4.37725,1.66861,0.43224,0.20469,0.10652,0.05306,1.24251,3.41286,1.57074,0.000110159,0.000110159,0.000110159
2,118.824,1.28941,3.24396,1.46073,0.49718,0.38898,0.37016,0.25579,1.07766,2.91638,1.47249,0.00021678,0.00021678,0.00021678
3,176.735,1.29417,2.75622,1.43039,0.60945,0.38569,0.47065,0.31597,1.11828,2.61458,1.53645,0.000319006,0.000319006,0.000319006
4,234.629,1.20976,2.32892,1.362,0.47237,0.57538,0.56024,0.39675,1.09405,2.92283,1.48601,0.00031322,0.00031322,0.00031322
5,292.394,1.17512,2.05137,1.32787,0.52673,0.61808,0.64238,0.40983,1.32742,2.13443,1.63485,0.000306626,0.000306626,0.000306626
6,350.32,1.16477,1.94141,1.31212,0.51716,0.57769,0.64457,0.45656,1.10885,2.33029,1.47529,0.000300033,0.000300033,0.000300033
7,408.003,1.13615,1.77521,1.29915,0.61396,0.62844,0.66378,0.46988,1.1532,2.24887,1.52079,0.00029344,0.00029344,0.00029344
8,465.655,1.10537,1.66803,1.2725,0.74612,0.62859,0.73335,0.51444,1.17541,1.92332,1.60192,0.000286846,0.000286846,0.000286846
9,523.34,1.08257,1.59099,1.26439,0.69944,0.51555,0.67111,0.48959,1.04467,2.41271,1.39539,0.000280253,0.000280253,0.000280253
10,581.038,1.04946,1.44525,1.243,0.66729,0.67577,0.73239,0.5231,1.1489,1.99277,1.47792,0.000273659,0.000273659,0.000273659
11,638.431,1.04104,1.41449,1.23417,0.65346,0.60877,0.70472,0.53271,1.00989,2.292,1.41483,0.000267066,0.000267066,0.000267066
12,695.956,1.02028,1.3332,1.22941,0.70283,0.65488,0.80717,0.58984,1.04618,1.99567,1.4715,0.000260473,0.000260473,0.000260473
13,753.709,0.99451,1.28325,1.21323,0.60763,0.63946,0.74756,0.54379,1.05861,2.12746,1.43363,0.000253879,0.000253879,0.000253879
14,811.72,0.98479,1.24606,1.20551,0.62038,0.66613,0.75883,0.5593,1.06685,2.1309,1.42906,0.000247286,0.000247286,0.000247286
15,869.167,0.9829,1.20427,1.20118,0.73507,0.56945,0.78066,0.58187,1.03238,2.07219,1.40682,0.000240692,0.000240692,0.000240692
