epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.826,1.19317,4.33753,1.6681,0.4052,0.4421,0.4413,0.33664,1.09028,2.24487,1.55384,0.000110213,0.000110213,0.000110213
2,849.949,1.02865,2.93813,1.46826,0.8556,0.70642,0.83636,0.61062,1.03677,1.18742,1.49843,0.000210263,0.000210263,0.000210263
3,1112.72,0.97808,2.30011,1.39375,0.79945,0.75862,0.87716,0.65217,1.00585,1.20474,1.43089,0.000299324,0.000299324,0.000299324
4,1371.88,0.94829,1.94394,1.35498,0.85724,0.88544,0.9427,0.70279,0.93862,0.90279,1.35242,0.00028355,0.00028355,0.00028355
5,1630.03,0.92011,1.69789,1.32693,0.90716,0.90564,0.94833,0.719,0.90643,0.76362,1.31734,0.000267066,0.000267066,0.000267066
6,1954.12,0.89128,1.51209,1.28945,0.92209,0.92896,0.95564,0.74688,0.83394,0.72362,1.25517,0.000250583,0.000250583,0.000250583
7,2249.73,0.87138,1.34725,1.26313,0.94443,0.94549,0.97513,0.76555,0.83627,0.61692,1.24815,0.000234099,0.000234099,0.000234099
8,2556.99,0.83633,1.23218,1.24365,0.94224,0.94009,0.96464,0.75153,0.84971,0.63693,1.23576,0.000217616,0.000217616,0.000217616
9,2829.98,0.83666,1.17453,1.2312,0.93437,0.97116,0.97457,0.75497,0.86332,0.58914,1.25843,0.000201132,0.000201132,0.000201132
10,3091.79,0.81615,1.10723,1.22283,0.97064,0.96196,0.9833,0.78249,0.82912,0.52746,1.23241,0.000184649,0.000184649,0.000184649
11,3346.67,0.71833,0.79727,1.19147,0.95829,0.9734,0.9825,0.78617,0.79759,0.49601,1.20443,0.000168165,0.000168165,0.000168165
12,3660.64,0.70014,0.72073,1.17475,0.97002,0.96951,0.98669,0.78728,0.80587,0.47244,1.19937,0.000151682,0.000151682,0.000151682
13,3876.12,0.67171,0.67075,1.16126,0.96394,0.97401,0.98402,0.8076,0.755,0.45445,1.16731,0.000135198,0.000135198,0.000135198
14,4170.25,0.67188,0.6282,1.15488,0.97438,0.97655,0.9893,0.81235,0.74697,0.4446,1.16541,0.000118714,0.000118714,0.000118714
15,4370.68,0.6438,0.58673,1.12883,0.98122,0.98358,0.98962,0.80407,0.75888,0.42399,1.16331,0.000102231,0.000102231,0.000102231
16,4574.38,0.63487,0.55926,1.12506,0.9831,0.98293,0.98938,0.81726,0.71144,0.40565,1.13769,8.57475e-05,8.57475e-05,8.57475e-05
17,4772.97,0.62041,0.53751,1.1145,0.98102,0.98137,0.98967,0.818,0.72541,0.40206,1.14347,6.9264e-05,6.9264e-05,6.9264e-05
18,4975.03,0.60801,0.51738,1.10355,0.98696,0.98589,0.9903,0.8248,0.7087,0.38774,1.13458,5.27805e-05,5.27805e-05,5.27805e-05
19,5173.67,0.59784,0.4966,1.0929,0.98337,0.98629,0.99061,0.8251,0.7021,0.37793,1.12864,3.6297e-05,3.6297e-05,3.6297e-05
20,5377.49,0.58315,0.48709,1.0833,0.98348,0.98655,0.99053,0.82917,0.68493,0.3677,1.11464,1.98135e-05,1.98135e-05,1.98135e-05
