epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6421,1.58439,4.55923,1.82439,0.59592,0.18281,0.15689,0.07409,1.38753,4.16193,1.96242,0.000110578,0.000110578,0.000110578
2,170.336,1.31917,3.48387,1.59253,0.44342,0.43925,0.39456,0.23371,1.32113,3.00479,1.88856,0.000220481,0.000220481,0.000220481
3,253.096,1.30971,3.01036,1.56531,0.60982,0.45184,0.50991,0.24571,1.56404,3.21331,2.14771,0.000329285,0.000329285,0.000329285
4,335.831,1.26485,2.61895,1.49828,0.64023,0.43729,0.58516,0.39129,1.22435,2.62337,1.74716,0.000328055,0.000328055,0.000328055
5,418.454,1.23706,2.33121,1.48844,0.75525,0.46789,0.64226,0.37344,1.33942,2.38636,1.86679,0.000326407,0.000326407,0.000326407
6,501.051,1.24488,2.19197,1.47556,0.63025,0.42644,0.54016,0.34914,1.32232,2.73091,1.86366,0.000324758,0.000324758,0.000324758
7,583.55,1.18696,2.03964,1.43212,0.62501,0.57308,0.69961,0.44587,1.28078,2.36252,1.78613,0.00032311,0.00032311,0.00032311
8,666.358,1.18512,1.93768,1.4336,0.73355,0.55104,0.72383,0.41053,1.54118,2.41782,2.14517,0.000321462,0.000321462,0.000321462
9,748.844,1.16325,1.77386,1.40465,0.8955,0.39161,0.66591,0.43888,1.25554,2.54022,1.74341,0.000319813,0.000319813,0.000319813
10,831.301,1.12837,1.72923,1.37468,0.6124,0.55491,0.67278,0.4195,1.32295,2.5977,1.86631,0.000318165,0.000318165,0.000318165
11,913.96,1.1334,1.61474,1.3756,0.8154,0.52565,0.72098,0.44519,1.41387,2.62006,1.95769,0.000316517,0.000316517,0.000316517
12,996.363,1.10563,1.53367,1.35299,0.7035,0.6117,0.7683,0.49743,1.2675,2.28645,1.79493,0.000314868,0.000314868,0.000314868
13,1079.25,1.07011,1.48164,1.35163,0.76792,0.61561,0.8067,0.54703,1.26135,2.10976,1.78724,0.00031322,0.00031322,0.00031322
