epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.366,1.68093,4.49898,1.7816,0.02525,0.6795,0.10609,0.04277,1.32188,3.65724,1.58206,0.000109318,0.000109318,0.000109318
2,106.758,1.30741,3.32118,1.47684,0.6058,0.30423,0.3201,0.19645,1.35636,2.90762,1.70296,0.000215956,0.000215956,0.000215956
3,159.237,1.29393,2.79127,1.44453,0.53018,0.55003,0.52937,0.31181,1.33426,2.64723,1.67304,0.000318198,0.000318198,0.000318198
4,211.612,1.25235,2.34556,1.39834,0.6102,0.51127,0.60146,0.35121,1.39015,2.34741,1.69821,0.00031322,0.00031322,0.00031322
5,264.013,1.22714,2.11047,1.38047,0.90232,0.38399,0.64388,0.42401,1.2546,2.28556,1.62168,0.000306626,0.000306626,0.000306626
6,316.444,1.15771,1.9313,1.34145,0.72793,0.47048,0.62164,0.38603,1.26749,2.32411,1.53876,0.000300033,0.000300033,0.000300033
7,368.9,1.12731,1.76447,1.30836,0.80155,0.43737,0.61949,0.43048,1.12763,2.43944,1.42904,0.00029344,0.00029344,0.00029344
8,421.271,1.13127,1.69166,1.31021,0.63185,0.67412,0.75389,0.45886,1.34476,1.90143,1.7015,0.000286846,0.000286846,0.000286846
9,473.569,1.10441,1.55877,1.27727,0.90641,0.35561,0.53368,0.38461,1.09506,2.65284,1.419,0.000280253,0.000280253,0.000280253
10,525.985,1.0957,1.503,1.27827,0.60322,0.624,0.6934,0.4247,1.34448,2.11183,1.6451,0.000273659,0.000273659,0.000273659
11,578.392,1.07224,1.4338,1.25611,0.74524,0.55338,0.78358,0.54368,1.14273,2.13894,1.50821,0.000267066,0.000267066,0.000267066
12,630.802,1.04265,1.33494,1.23421,0.73679,0.65862,0.78731,0.56027,1.10353,1.97695,1.43621,0.000260473,0.000260473,0.000260473
13,683.111,1.02518,1.33213,1.2443,0.93356,0.37805,0.71724,0.48654,1.22978,2.29293,1.52925,0.000253879,0.000253879,0.000253879
