epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2435,1.61484,4.60771,1.83756,0.73041,0.09213,0.14656,0.05672,1.47999,3.45928,1.98252,0.000110159,0.000110159,0.000110159
2,158.841,1.29594,3.51709,1.57044,0.42539,0.50852,0.37945,0.2455,1.25672,3.81142,1.80633,0.00021678,0.00021678,0.00021678
3,236.982,1.2785,2.96323,1.53606,0.40661,0.48998,0.45486,0.2814,1.33931,2.6482,1.79062,0.000319006,0.000319006,0.000319006
4,314.788,1.23501,2.54218,1.48716,0.86904,0.35526,0.51855,0.3538,1.22014,2.75738,1.7135,0.00031322,0.00031322,0.00031322
5,392.774,1.21349,2.23691,1.45846,0.61302,0.527,0.64529,0.38841,1.40559,2.20191,1.9134,0.000306626,0.000306626,0.000306626
6,470.491,1.18679,2.10317,1.42462,0.81192,0.36845,0.63079,0.38776,1.30679,2.72783,1.84851,0.000300033,0.000300033,0.000300033
7,548.198,1.1723,1.94677,1.40396,0.56933,0.64408,0.68174,0.42867,1.2896,2.28626,1.80403,0.00029344,0.00029344,0.00029344
8,625.85,1.15186,1.81992,1.38819,0.72378,0.51266,0.74172,0.5145,1.17262,2.22356,1.69381,0.000286846,0.000286846,0.000286846
9,703.459,1.12123,1.70564,1.36635,0.60077,0.60924,0.73454,0.4483,1.37679,2.2629,1.97216,0.000280253,0.000280253,0.000280253
10,780.989,1.08633,1.57945,1.33958,0.57846,0.66804,0.70086,0.43178,1.36327,2.25823,1.90151,0.000273659,0.000273659,0.000273659
11,858.407,1.08785,1.54068,1.33501,0.589,0.61406,0.70752,0.48924,1.22038,2.27125,1.72398,0.000267066,0.000267066,0.000267066
12,936.085,1.06436,1.43965,1.32596,0.84127,0.44595,0.68385,0.46737,1.18806,2.5001,1.76044,0.000260473,0.000260473,0.000260473
13,1013.67,1.05968,1.39442,1.31984,0.70642,0.60927,0.71479,0.46413,1.29379,2.15623,1.81273,0.000253879,0.000253879,0.000253879
14,1091.11,1.03553,1.33363,1.29698,0.71846,0.59992,0.72669,0.47659,1.27517,2.24685,1.75923,0.000247286,0.000247286,0.000247286
15,1168.53,1.02497,1.26919,1.27952,0.77472,0.47704,0.6946,0.47072,1.18442,2.49566,1.67537,0.000240692,0.000240692,0.000240692
16,1246,0.99858,1.25862,1.27363,0.77173,0.46382,0.62139,0.42879,1.16081,2.51114,1.63178,0.000234099,0.000234099,0.000234099
