epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6901,1.61341,4.50369,1.71623,0.02001,0.67069,0.09905,0.05649,1.12614,3.61397,1.43262,0.000109318,0.000109318,0.000109318
2,106.723,1.27505,3.28666,1.44057,0.76404,0.25848,0.36518,0.21901,1.16822,2.82994,1.51664,0.000215956,0.000215956,0.000215956
3,159.371,1.27659,2.75823,1.4221,0.58549,0.53009,0.47273,0.32665,1.14955,2.62444,1.56453,0.000318198,0.000318198,0.000318198
4,211.949,1.21495,2.2977,1.36454,0.68947,0.45576,0.54868,0.34943,1.27461,2.62037,1.67346,0.00031322,0.00031322,0.00031322
5,264.318,1.19554,2.05417,1.35237,0.86754,0.44209,0.64337,0.416,1.28479,2.14902,1.64562,0.000306626,0.000306626,0.000306626
6,316.713,1.14609,1.88133,1.32376,0.77931,0.45493,0.61468,0.43939,1.11364,2.14615,1.43331,0.000300033,0.000300033,0.000300033
7,368.988,1.11256,1.70674,1.28881,0.86803,0.34747,0.56761,0.39226,1.06682,2.41083,1.40522,0.00029344,0.00029344,0.00029344
8,421.361,1.0838,1.62097,1.26652,0.76285,0.51958,0.66812,0.45238,1.22659,2.17709,1.63445,0.000286846,0.000286846,0.000286846
9,473.741,1.05249,1.48374,1.23524,0.54566,0.54417,0.62166,0.45816,1.02481,2.30271,1.3707,0.000280253,0.000280253,0.000280253
10,526.093,1.04861,1.43617,1.24077,0.70745,0.56385,0.72896,0.50135,1.18079,2.12432,1.53539,0.000273659,0.000273659,0.000273659
11,578.636,1.02225,1.37859,1.21488,0.64959,0.5783,0.68471,0.50145,1.02751,2.14084,1.43736,0.000267066,0.000267066,0.000267066
12,630.841,0.99237,1.28611,1.19604,0.59806,0.53088,0.64697,0.47287,1.04151,2.33921,1.3845,0.000260473,0.000260473,0.000260473
13,683.091,0.98581,1.26862,1.20667,0.65132,0.52843,0.62967,0.44003,1.16016,2.48364,1.50606,0.000253879,0.000253879,0.000253879
14,735.533,0.98806,1.22064,1.19423,0.61895,0.58809,0.7121,0.52345,1.00454,2.17554,1.39388,0.000247286,0.000247286,0.000247286
15,787.921,0.96537,1.17808,1.18637,0.63434,0.54576,0.66849,0.50245,1.06897,2.26153,1.41738,0.000240692,0.000240692,0.000240692
16,840.069,0.94437,1.14244,1.17538,0.62173,0.56954,0.67433,0.49649,1.07078,2.24835,1.41851,0.000234099,0.000234099,0.000234099
17,892.281,0.92365,1.10618,1.15779,0.66483,0.53429,0.71101,0.54158,1.0108,2.20906,1.37338,0.000227506,0.000227506,0.000227506
18,944.29,0.91092,1.05554,1.15495,0.67407,0.57846,0.67624,0.51615,0.98056,2.33155,1.34359,0.000220912,0.000220912,0.000220912
19,996.464,0.90488,1.06509,1.14478,0.65111,0.63074,0.75383,0.55445,1.03442,2.06723,1.41658,0.000214319,0.000214319,0.000214319
