epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.452,1.14145,4.60213,1.73213,0.63172,0.46989,0.5329,0.39462,1.06819,2.05926,1.52622,0.000110213,0.000110213,0.000110213
2,521.062,0.92511,2.69687,1.43077,0.797,0.78771,0.85507,0.63999,0.95096,1.16037,1.38246,0.000199313,0.000199313,0.000199313
3,767.17,0.85083,1.97181,1.34312,0.86844,0.82586,0.93092,0.70963,0.9087,1.01021,1.35602,0.000266435,0.000266435,0.000266435
4,1013.27,0.8322,1.6026,1.3106,0.90761,0.91602,0.95761,0.73633,0.88445,0.76632,1.30681,0.000234099,0.000234099,0.000234099
5,1250.32,0.7834,1.34492,1.2609,0.91658,0.94204,0.96912,0.74422,0.86513,0.70385,1.26391,0.000201132,0.000201132,0.000201132
6,1490.42,0.74854,1.15012,1.22193,0.95241,0.96288,0.97921,0.76698,0.82331,0.59334,1.23197,0.000168165,0.000168165,0.000168165
7,1727.92,0.72411,1.01402,1.20637,0.96361,0.96289,0.98139,0.79155,0.77285,0.54346,1.18596,0.000135198,0.000135198,0.000135198
8,1968.74,0.69538,0.92136,1.17603,0.97108,0.96439,0.98525,0.80544,0.7317,0.52033,1.16232,0.000102231,0.000102231,0.000102231
9,2205.72,0.67205,0.85245,1.15072,0.96727,0.9718,0.98549,0.80581,0.72325,0.48418,1.1506,6.9264e-05,6.9264e-05,6.9264e-05
10,2445.88,0.64211,0.80247,1.14047,0.98016,0.96878,0.98849,0.80832,0.74449,0.46836,1.15932,3.6297e-05,3.6297e-05,3.6297e-05
