epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.651,1.10403,3.97175,1.53531,0.76482,0.44719,0.62705,0.45742,1.11408,1.79084,1.33666,0.000110605,0.000110605,0.000110605
2,265.408,0.91165,2.23467,1.28813,0.82818,0.80528,0.89659,0.64969,1.02165,1.08545,1.22478,0.000199666,0.000199666,0.000199666
3,388.533,0.85665,1.58524,1.2224,0.8926,0.895,0.9473,0.7411,0.83767,0.89554,1.06186,0.000266749,0.000266749,0.000266749
4,512.954,0.81803,1.29274,1.1855,0.90153,0.9249,0.94848,0.74228,0.86089,0.75866,1.08647,0.000234099,0.000234099,0.000234099
5,637.553,0.79054,1.09522,1.1616,0.93537,0.94285,0.9766,0.76099,0.82581,0.64116,1.0556,0.000201132,0.000201132,0.000201132
6,762.132,0.75322,0.95452,1.12853,0.9578,0.93405,0.97986,0.78705,0.78895,0.59329,1.0211,0.000168165,0.000168165,0.000168165
7,887.15,0.71751,0.85451,1.10642,0.95304,0.96434,0.98291,0.78501,0.78199,0.53183,1.01626,0.000135198,0.000135198,0.000135198
8,1012.9,0.69021,0.78024,1.08561,0.97511,0.96898,0.9872,0.79646,0.76212,0.4896,0.988,0.000102231,0.000102231,0.000102231
9,1138.11,0.67756,0.72244,1.07369,0.96807,0.97956,0.98901,0.8041,0.73583,0.46635,0.97088,6.9264e-05,6.9264e-05,6.9264e-05
10,1263.77,0.64368,0.68362,1.04837,0.97011,0.98142,0.989,0.80804,0.73596,0.44573,0.97263,3.6297e-05,3.6297e-05,3.6297e-05
