epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.269,1.11546,4.39001,1.67958,0.61479,0.56928,0.63795,0.47038,1.03362,1.71237,1.49467,0.000110802,0.000110802,0.000110802
2,373.492,0.95322,2.65937,1.4318,0.76927,0.83618,0.88634,0.63525,1.07906,1.15549,1.50016,0.000199844,0.000199844,0.000199844
3,549.665,0.8841,1.87348,1.35415,0.9264,0.86546,0.94759,0.71753,0.92291,0.86825,1.31417,0.000266908,0.000266908,0.000266908
4,724.712,0.83751,1.49028,1.29965,0.91887,0.93937,0.96292,0.71087,0.9938,0.78013,1.37695,0.000234099,0.000234099,0.000234099
5,899.797,0.80699,1.24322,1.27119,0.93468,0.9462,0.97373,0.74976,0.88026,0.70215,1.2696,0.000201132,0.000201132,0.000201132
6,1075.16,0.7673,1.07886,1.23075,0.94645,0.95709,0.97833,0.76535,0.83262,0.61712,1.23602,0.000168165,0.000168165,0.000168165
7,1250.53,0.73982,0.96408,1.21131,0.94418,0.97337,0.97656,0.77417,0.81088,0.56667,1.20967,0.000135198,0.000135198,0.000135198
8,1425.69,0.71509,0.87269,1.18551,0.95556,0.9733,0.98302,0.79245,0.77674,0.51976,1.19103,0.000102231,0.000102231,0.000102231
9,1603.26,0.68679,0.8181,1.16146,0.97017,0.96883,0.98542,0.79672,0.77923,0.50121,1.1872,6.9264e-05,6.9264e-05,6.9264e-05
10,1778.64,0.66229,0.76938,1.14729,0.98199,0.96679,0.98791,0.80069,0.7583,0.48025,1.17927,3.6297e-05,3.6297e-05,3.6297e-05
