epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2384,1.59503,4.35385,1.72777,0.23888,0.29331,0.16614,0.08869,1.40105,3.1962,1.7177,0.000110578,0.000110578,0.000110578
2,147.38,1.34542,3.30718,1.52104,0.5731,0.46582,0.41127,0.24563,1.4152,3.35393,1.88429,0.000217191,0.000217191,0.000217191
3,217.51,1.33116,2.85346,1.50857,0.69609,0.36102,0.47283,0.28275,1.33637,2.76513,1.65139,0.000319408,0.000319408,0.000319408
4,287.51,1.27981,2.49277,1.44228,0.76377,0.36284,0.49728,0.31112,1.3441,2.85097,1.7242,0.00031322,0.00031322,0.00031322
5,360.922,1.25925,2.23445,1.4348,0.38279,0.57048,0.55622,0.32738,1.35488,2.75478,1.7321,0.000306626,0.000306626,0.000306626
6,438.667,1.22348,2.07956,1.39682,0.69719,0.55809,0.67644,0.44636,1.26642,2.59327,1.61953,0.000300033,0.000300033,0.000300033
7,511.812,1.18115,1.92211,1.35789,0.63663,0.52727,0.66454,0.45207,1.19751,2.3324,1.56384,0.00029344,0.00029344,0.00029344
8,583.096,1.17703,1.81714,1.35829,0.70292,0.56711,0.7256,0.41775,1.47702,2.45566,1.83936,0.000286846,0.000286846,0.000286846
9,652.05,1.15621,1.68301,1.33612,0.62404,0.52535,0.66707,0.4456,1.22592,2.55804,1.54472,0.000280253,0.000280253,0.000280253
10,720.514,1.11776,1.62943,1.31011,0.60347,0.62924,0.74454,0.50916,1.25319,2.39568,1.59937,0.000273659,0.000273659,0.000273659
11,790.352,1.11683,1.56423,1.29954,0.71489,0.62111,0.71798,0.49005,1.26066,2.76325,1.64868,0.000267066,0.000267066,0.000267066
12,859.037,1.08332,1.46059,1.27729,0.57227,0.68479,0.71549,0.50528,1.11639,2.38333,1.4719,0.000260473,0.000260473,0.000260473
13,927.172,1.05841,1.42912,1.2756,0.64749,0.55883,0.67296,0.48233,1.14668,2.51176,1.53517,0.000253879,0.000253879,0.000253879
14,996.285,1.076,1.39422,1.29007,0.55613,0.61208,0.70824,0.48787,1.23677,2.40897,1.5959,0.000247286,0.000247286,0.000247286
15,1064.71,1.05184,1.35371,1.25728,0.74813,0.63182,0.81337,0.55932,1.19221,2.02103,1.58233,0.000240692,0.000240692,0.000240692
16,1132.94,1.05867,1.28034,1.25253,0.59983,0.53969,0.73547,0.49923,1.19806,2.60121,1.59207,0.000234099,0.000234099,0.000234099
17,1201.24,1.04548,1.28355,1.257,0.64165,0.55084,0.72302,0.49837,1.18202,2.28466,1.56065,0.000227506,0.000227506,0.000227506
18,1269.53,1.00015,1.22441,1.22383,0.70623,0.59975,0.74113,0.50924,1.2128,2.11411,1.62918,0.000220912,0.000220912,0.000220912
19,1338.09,1.01452,1.22833,1.23287,0.68339,0.5531,0.70536,0.49166,1.17715,2.50729,1.54596,0.000214319,0.000214319,0.000214319
20,1406.49,1.00044,1.18465,1.22115,0.68858,0.63812,0.78096,0.54544,1.19446,2.07528,1.57324,0.000207725,0.000207725,0.000207725
21,1475.25,0.98889,1.12127,1.21685,0.61198,0.65259,0.72096,0.49524,1.1864,2.418,1.5913,0.000201132,0.000201132,0.000201132
22,1544.14,0.97391,1.09499,1.20331,0.62721,0.60024,0.70088,0.48963,1.2019,2.48101,1.58613,0.000194539,0.000194539,0.000194539
23,1613.18,0.96246,1.08259,1.19936,0.62561,0.64659,0.76317,0.54254,1.20324,2.29045,1.59213,0.000187945,0.000187945,0.000187945
24,1682.42,0.96406,1.0594,1.19237,0.56984,0.57517,0.6894,0.50032,1.18181,2.5182,1.59247,0.000181352,0.000181352,0.000181352
25,1751.55,0.93827,1.04348,1.17632,0.57727,0.57613,0.69591,0.49658,1.1955,2.7135,1.56773,0.000174758,0.000174758,0.000174758
26,1820.74,0.93029,1.02442,1.17511,0.56131,0.58867,0.72446,0.52486,1.14414,2.56359,1.56508,0.000168165,0.000168165,0.000168165
27,1889.73,0.92856,1.01584,1.16647,0.61288,0.63016,0.71588,0.52188,1.12553,2.50149,1.53244,0.000161572,0.000161572,0.000161572
28,1958.65,0.91989,0.98957,1.16885,0.61599,0.65775,0.75114,0.51787,1.23599,2.30315,1.65346,0.000154978,0.000154978,0.000154978
29,2027.44,0.918,0.9869,1.16983,0.5991,0.67003,0.74548,0.53945,1.14859,2.36462,1.56565,0.000148385,0.000148385,0.000148385
30,2096.35,0.89616,0.95963,1.15094,0.64606,0.59332,0.73368,0.54096,1.10917,2.48573,1.50425,0.000141791,0.000141791,0.000141791
31,2165.48,0.88295,0.93198,1.15492,0.60916,0.71346,0.79631,0.5636,1.18327,2.03983,1.56146,0.000135198,0.000135198,0.000135198
32,2234.92,0.87349,0.92729,1.14344,0.60715,0.66668,0.73526,0.54594,1.07689,2.3897,1.47758,0.000128605,0.000128605,0.000128605
33,2303.42,0.86949,0.91676,1.13756,0.70931,0.65917,0.76766,0.5582,1.1937,2.1433,1.57259,0.000122011,0.000122011,0.000122011
34,2371.5,0.86467,0.90935,1.1452,0.72032,0.57651,0.69649,0.51856,1.13902,2.36966,1.51268,0.000115418,0.000115418,0.000115418
35,2439.78,0.84952,0.88818,1.13177,0.69162,0.6294,0.74212,0.5671,1.08408,2.33596,1.49879,0.000108824,0.000108824,0.000108824
36,2507.84,0.85117,0.88827,1.13204,0.75175,0.60514,0.75332,0.5738,1.09204,2.26103,1.51696,0.000102231,0.000102231,0.000102231
37,2576.17,0.83849,0.86373,1.12284,0.64744,0.65089,0.73556,0.55122,1.11343,2.32862,1.54351,9.56376e-05,9.56376e-05,9.56376e-05
38,2644.41,0.83446,0.85344,1.12138,0.75079,0.65508,0.77964,0.57451,1.13509,2.15461,1.56915,8.90442e-05,8.90442e-05,8.90442e-05
39,2712.62,0.82864,0.84523,1.12076,0.66408,0.59421,0.71681,0.54279,1.08843,2.40968,1.50257,8.24508e-05,8.24508e-05,8.24508e-05
40,2780.84,0.81081,0.82865,1.11524,0.67121,0.69574,0.75667,0.55193,1.1153,2.18789,1.54921,7.58574e-05,7.58574e-05,7.58574e-05
41,2863.39,0.67391,0.52624,1.05946,0.64845,0.63755,0.75531,0.55993,1.07656,2.25713,1.50319,6.9264e-05,6.9264e-05,6.9264e-05
42,2935.69,0.66249,0.49916,1.04767,0.61962,0.66525,0.75221,0.56967,1.05112,2.28902,1.46504,6.26706e-05,6.26706e-05,6.26706e-05
43,3007.37,0.66103,0.4919,1.05008,0.71445,0.56833,0.75016,0.5677,1.06973,2.25864,1.49166,5.60772e-05,5.60772e-05,5.60772e-05
44,3079.05,0.64533,0.48081,1.04069,0.65032,0.66306,0.76816,0.58346,1.04392,2.12077,1.46395,4.94838e-05,4.94838e-05,4.94838e-05
45,3153.88,0.62878,0.4689,1.02686,0.64116,0.68611,0.77626,0.58714,1.08252,2.08185,1.51257,4.28904e-05,4.28904e-05,4.28904e-05
46,3226.94,0.61018,0.46114,1.02054,0.65943,0.67671,0.76198,0.58559,1.05007,2.12543,1.48195,3.6297e-05,3.6297e-05,3.6297e-05
47,3297.56,0.60405,0.45251,1.01619,0.60411,0.69081,0.7669,0.58647,1.04822,2.19278,1.47891,2.97036e-05,2.97036e-05,2.97036e-05
48,3367.56,0.59384,0.44999,1.00865,0.65183,0.68959,0.77907,0.59374,1.05529,2.09637,1.48317,2.31102e-05,2.31102e-05,2.31102e-05
49,3441.37,0.59162,0.44514,1.01128,0.6482,0.68761,0.77906,0.59562,1.05278,2.11779,1.48472,1.65168e-05,1.65168e-05,1.65168e-05
50,3519.63,0.58529,0.44092,1.00303,0.6501,0.70323,0.78099,0.59629,1.05369,2.10294,1.48439,9.9234e-06,9.9234e-06,9.9234e-06
