epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.469,1.1616,3.95895,1.50963,0.35473,0.5366,0.47342,0.34228,1.11274,2.08884,1.35262,0.000110605,0.000110605,0.000110605
2,257.537,1.04497,2.67192,1.36214,0.81769,0.76259,0.85517,0.6355,0.9953,1.22039,1.21979,0.000210636,0.000210636,0.000210636
3,381.825,0.98693,2.06643,1.28935,0.83765,0.84385,0.90828,0.65026,1.03369,1.04092,1.2398,0.000299677,0.000299677,0.000299677
4,504.677,0.95707,1.78902,1.25908,0.87426,0.89778,0.9346,0.71639,0.90821,0.82362,1.12246,0.00028355,0.00028355,0.00028355
5,628.341,0.93052,1.56499,1.2342,0.92143,0.92006,0.9604,0.73539,0.90062,0.73084,1.10236,0.000267066,0.000267066,0.000267066
6,753.44,0.8905,1.40744,1.20519,0.91589,0.95297,0.96789,0.75618,0.85128,0.6361,1.07381,0.000250583,0.000250583,0.000250583
7,876.24,0.86851,1.28129,1.17951,0.94604,0.94282,0.97176,0.75878,0.83011,0.60174,1.0421,0.000234099,0.000234099,0.000234099
8,999.231,0.85462,1.18283,1.16998,0.94149,0.94753,0.97456,0.75897,0.85497,0.57474,1.04973,0.000217616,0.000217616,0.000217616
9,1122.19,0.83554,1.12433,1.15478,0.9592,0.95188,0.98232,0.78167,0.81937,0.54978,1.04567,0.000201132,0.000201132,0.000201132
10,1245.06,0.82188,1.06525,1.15011,0.95719,0.97113,0.98479,0.78996,0.79917,0.50869,1.02481,0.000184649,0.000184649,0.000184649
11,1381.37,0.72166,0.72554,1.10163,0.96646,0.97674,0.98577,0.78346,0.7853,0.4944,1.00859,0.000168165,0.000168165,0.000168165
12,1504.52,0.70145,0.66217,1.08514,0.97448,0.97385,0.98952,0.78652,0.7877,0.46583,1.00536,0.000151682,0.000151682,0.000151682
13,1627.73,0.6828,0.62094,1.08471,0.9833,0.97978,0.99004,0.79165,0.80135,0.43846,1.0179,0.000135198,0.000135198,0.000135198
14,1750.96,0.67508,0.58373,1.07212,0.98182,0.9762,0.99239,0.80565,0.74858,0.43245,0.97814,0.000118714,0.000118714,0.000118714
15,1872.93,0.65692,0.55504,1.05855,0.98363,0.97693,0.9906,0.79201,0.8215,0.43006,1.01941,0.000102231,0.000102231,0.000102231
16,1995.53,0.64045,0.52758,1.05009,0.99127,0.97419,0.99039,0.81765,0.72812,0.3926,0.96784,8.57475e-05,8.57475e-05,8.57475e-05
17,2115.85,0.6273,0.50664,1.04304,0.97967,0.98225,0.99055,0.81985,0.72035,0.39057,0.96296,6.9264e-05,6.9264e-05,6.9264e-05
18,2236.69,0.6143,0.48924,1.0342,0.98718,0.98378,0.99229,0.82368,0.71995,0.37935,0.95873,5.27805e-05,5.27805e-05,5.27805e-05
19,2357.16,0.60993,0.47532,1.02993,0.9871,0.98685,0.99269,0.82603,0.71574,0.36575,0.9563,3.6297e-05,3.6297e-05,3.6297e-05
20,2478.82,0.59385,0.46503,1.01682,0.9858,0.99014,0.99304,0.82633,0.70692,0.35881,0.95422,1.98135e-05,1.98135e-05,1.98135e-05
